Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
pheebs whats wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
god,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
well,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
whoo,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
mmhmmh,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
yes little black book got numbers guys ive dated,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
oh pheebs baby thats nice know think im ok dont give one single girlfriends,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
would youre last one,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh first love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
red x next bob greenmores name mean,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative
hey im sorry given guys black book got married although wasnt much book napkin janices phone number,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
phoebe isnt jethro tull band,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
monica,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Positive
oh ill tell agency bidding big account,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
cool,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
thats great hey cast,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
oh dont know really dont think youre right part,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
first bravo uh really dont think youre right part calls stuffy college professor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
software facilitates interbusiness networking esolutions,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
guess whos finalist,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
ah well unless creepy guy hand kilt im gonna say congratulations,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Negative
oh im excited mean apparently beat hundreds applicants included five guys went graduate school im keeping score anything,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
wow thats great tell grant,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
well ok 25 thousand dollars get ill finally able complete field research,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
wait talking dewar grant,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
benjamin hobart administering grant,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
exboyfriend,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative
yeah,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
exboyfriend gonna determine new boyfriend gets grant wow new boyfriend screwed,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
ended great terms mean anything think could help know dont go dinner together introduce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
well think would help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
yes absolutely ill call,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
ok anything know butter anything really likes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Positive
mmh pretty serious latex fetish,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
well see dinner goes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive
hey wanna go see movie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
