Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative,Song Recommendations
pheebs whats wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Let The Light Go Out, Somebody That I Used To Know, Nothing Else Matters"
mmhmmh,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
yes little black book got numbers guys ive dated,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative,"Organ Variation, Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack, Confidence"
would youre last one,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Bet My Life, Middle Of A Breakup, Ain't No Rest for the Wicked"
red x next bob greenmores name mean,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative,"Cotton Eye Joe, Play with Fire (feat. Yacht Money), Into the Unknown - Panic! At The Disco Version"
hey im sorry given guys black book got married although wasnt much book napkin janices phone number,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative,"Flashback, I Feel It Coming, Party Monster"
phoebe isnt jethro tull band,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
oh ill tell agency bidding big account,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
oh dont know really dont think youre right part,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Bet My Life, Middle Of A Breakup, Ain't No Rest for the Wicked"
first bravo uh really dont think youre right part calls stuffy college professor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
guess whos finalist,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
ah well unless creepy guy hand kilt im gonna say congratulations,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Negative,"Hall of Fame (feat. will.i.am), Lose Yourself, Not Afraid"
oh im excited mean apparently beat hundreds applicants included five guys went graduate school im keeping score anything,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off, One of the Drunks, Animals"
well ok 25 thousand dollars get ill finally able complete field research,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
wait talking dewar grant,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
exboyfriend,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit"
exboyfriend gonna determine new boyfriend gets grant wow new boyfriend screwed,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., All We Know, Duality"
well think would help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
yes absolutely ill call,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Hey Look Ma, I Made It, Houdini (feat. Swarmz & Tion Wayne), Boss Bitch"
mmh pretty serious latex fetish,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., All We Know, Duality"
well told spend day clearing stuff mike could move,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Hey Look Ma, I Made It, Houdini (feat. Swarmz & Tion Wayne), Boss Bitch"
oh well im might well help cleaning organizing happen label maker,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
uh chandler want,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative,"Chop Suey!, Nearly Witches (Ever Since We Met...), Attention"
well course whats like ill take minute know think youre giving easy honey think need fight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
absolutely yes say im sorry mike cant live without,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Negative,"Die For You, Setting Fires, Mr. Brightside"
ok ill fight ok oh wait oh realized means dont get,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
damn,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
mean rach dont seem like professor youd buy kind ecrap,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative,"Toxicity, Build God, Then We'll Talk, Bad Liar"
im sorry sounds like something im never gonna interested,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
pass boss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
hes right part suggest bosses gonna think im idiot thats something learn,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative,"Monster, Paranoid - 2012 - Remaster, Nightmare"
tell joey watched tape liked bosses didnt way youre good guy theyre bad guys,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative,"Royals, It's My Life, Whatever It Takes"
cant believe im meet benjamin hobart ive always thought one people id invite fantasy dinner party think theres chance hell bring christie brinkley c3po,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
